timestamp,request_id,agent_success,dijkstra_success,agent_hops,dijkstra_hops,agent_latency,agent_uplink,agent_downlink,agent_reliability,agent_cpu,agent_power,dijkstra_latency,dijkstra_uplink,dijkstra_downlink,dijkstra_reliability,dijkstra_cpu,dijkstra_power
1761797077.7032971,req_903icdc1q,True,True,3,3,19.5937425025017,1.33,1.93,0.8959882902916376,13,16,19.5937425025017,1.33,1.93,0.8959882902916376,13,16
1761797077.7069361,req_5550a50l5,True,True,1,1,11.180114419024676,4.73,11.71,0.8005277197620434,14,10,11.180114419024676,4.73,11.71,0.8005277197620434,14,10
1761797077.710206,req_oaliy834x,True,True,1,1,7.749233466847624,0.22,0.49,0.8581534023938364,5,9,7.749233466847624,0.22,0.49,0.8581534023938364,5,9
1761797077.713655,req_p9apu8trh,True,True,1,1,11.061248965670234,0.2,0.36,0.8039606427827239,1,2,11.061248965670234,0.2,0.36,0.8039606427827239,1,2
1761797077.7187688,req_0n3rlkm87,True,True,1,1,7.813621861851759,1.22,5.52,0.9036705805683599,16,23,7.813621861851759,1.22,5.52,0.9036705805683599,16,23
1761797077.722854,req_ap8m1w568,True,True,1,1,11.318817157383284,0.26,0.43,0.7965404090361129,2,2,11.318817157383284,0.26,0.43,0.7965404090361129,2,2
1761797077.730098,req_p5ufmx4vw,True,True,1,1,11.194845885961268,0.21,0.21,0.8001032862026343,2,3,11.194845885961268,0.21,0.21,0.8001032862026343,2,3
1761797077.7334578,req_jeow72z8v,True,True,1,1,8.727211487934142,4.86,6.67,0.8744329904701117,5,24,8.676872975136254,4.86,6.67,0.8760190627915877,5,24
1761797077.7375329,req_2qfnnuauz,True,True,1,1,8.266225901324285,2.16,5.78,0.889065709325568,26,30,8.266225901324285,2.16,5.78,0.889065709325568,26,30
1761797077.741222,req_i0iujk26p,True,True,1,1,10.219839473985907,19.08,20.5,0.8286857879696128,33,49,10.219839473985907,19.08,20.5,0.8286857879696128,33,49
1761797077.743375,req_gmhgmdg25,True,True,1,1,10.980422847966597,3.69,8.67,0.8063033661195325,16,26,10.980422847966597,3.69,8.67,0.8063033661195325,16,26
1761797077.745631,req_x2va3jauz,True,True,1,1,5.72998972549817,0.14,0.46,0.9740626742622774,1,6,5.72998972549817,0.14,0.46,0.9740626742622774,1,6
1761797077.748703,req_7diyyv35s,True,True,1,1,9.368003148336468,0.17,0.32,0.8544920216445572,2,5,9.368003148336468,0.17,0.32,0.8544920216445572,2,5
1761797077.751445,req_ifxynpdi8,True,True,1,1,10.019095290259077,13.99,45.9,0.8346962185472224,47,69,10.019095290259077,13.99,45.9,0.8346962185472224,47,69
1761797077.753833,req_x0fftbvrs,True,True,1,1,5.05779611881618,0.29,0.31,0.9454628715172134,2,6,5.05779611881618,0.29,0.31,0.9454628715172134,2,6
1761797077.756047,req_b33hppzy7,True,True,1,1,9.400599769628114,1.4,14.93,0.8534898818524941,32,53,9.400599769628114,1.4,14.93,0.8534898818524941,32,53
1761797077.757697,req_yc8w9il27,True,True,1,1,7.904522418842591,0.12,0.22,0.9007182241502409,1,5,7.904522418842591,0.12,0.22,0.9007182241502409,1,5
1761797077.75947,req_u9zz8l8t1,True,True,1,1,5.2220450521586494,2.51,10.95,0.9920382421581059,23,24,5.2220450521586494,2.51,10.95,0.9920382421581059,23,24
